Dates,ES1 Index,NQ1 Index,VG1 Index,BZ1 Index,TY1 Comdty,RX1 Comdty,EC1 Curncy,BP1 Curncy,UC1 Curncy,CL1 Comdty,CO1 Comdty
06/22/1999,1434.07,3039.99,2457.1,121376,55.78125,71.63,1.22541,147.12,12580.648,49.14,13.2
06/23/1999,1426.63,3062.36,2422.3,119950,55.5625,71.25,1.226,146.27,12660.853,51.08,13.63
06/24/1999,1416.53,3006.78,2387.5,115188,55.421875,70.66,1.23532,147.03,12701.947,50.64,13.57
06/25/1999,1412.55,3002.71,2392.5,112847,55.5,70.97,1.23792,146.92,12676.425,50.91,13.62
06/28/1999,1428.49,3068.46,2397,113230,55.71875,70.93,1.22859,146.46,12552.322,50.47,13.55
06/29/1999,1442.04,3109.8,2405.8,114863,55.84375,71.16,1.22659,145.75,12504.864,51.05,13.76
06/30/1999,1468.61,3154.54,2408.3,118356,56.296875,71.24,1.2273,146.09,12365.181,53.4,14.35
07/01/1999,1479.61,3179.62,2457.7,117854,56.140625,70.87,1.21396,145.59,12481.696,53.68,14.44
07/02/1999,1494.39,3226.39,2478,119320,56.171875,70.64,1.21526,146.16,12407.896,54.51,14.48
07/05/1999,1498.11,3227.74,2530.6,120757,56.171875,70.72,1.21361,145.86,12445.057,54.51,14.9
07/06/1999,1491.47,3206.05,2525.5,117382,56.046875,70.33,1.21384,144.57,12525.003,54.76,14.84
07/07/1999,1492.79,3202.66,2515.4,118189,55.953125,69.88,1.2129,144.55,12516.555,54.73,14.88
07/08/1999,1493.33,3238.59,2505.2,115208,56.171875,70.09,1.21054,144.27,12660.319,54.57,14.95
07/09/1999,1502.89,3277.9,2517.3,115208,56.140625,70.02,1.20629,143.26,12660.319,55.2,15.17
07/12/1999,1497.58,3259.6,2517.3,112473,56.5,70.58,1.20405,144.16,12895.455,55.12,15.24
07/13/1999,1492,3246.72,2479.3,112965,56.578125,70.55,1.20593,144.14,12812.781,55.79,15.6
07/14/1999,1497.84,3301.62,2485,112630,56.5,70.64,1.21042,144.72,12769.557,55.15,15.48
07/15/1999,1508.74,3325.35,2506.5,113211,56.515625,69.98,1.20959,144.88,12681.631,55.81,15.73
07/16/1999,1517.24,3353.82,2502.7,112896,56.671875,70.27,1.20818,144.61,12592.811,57.09,15.95
07/19/1999,1507.14,3328.74,2501.4,113476,56.703125,70.41,1.22033,146.29,12542.43,56.89,15.83
07/20/1999,1474.73,3189.79,2446.3,111735,56.765625,70.78,1.23367,145.18,12685.433,54.41,15.29
07/21/1999,1472.6,3210.12,2403.9,112561,56.734375,71.04,1.24665,145.99,12700.369,54.14,15.32
07/22/1999,1453.73,3128.78,2390,111833,56.34375,70.76,1.24642,146.62,12717.983,54.94,15.54
07/23/1999,1448.42,3131.49,2355.8,109393,56.140625,70.61,1.24524,146.01,12724.255,56.84,16.1
07/26/1999,1439.92,3056.93,2330.5,105979,56.078125,70.75,1.26282,147.12,12748.538,56.54,15.96
07/27/1999,1449.48,3126.75,2333.6,106835,56.203125,70.65,1.25786,147.14,12655.512,56.15,15.77
07/28/1999,1453.73,3169.45,2334.3,106097,56.1875,70.68,1.26258,147.83,12490.904,56.59,15.95
07/29/1999,1434.6,3100.99,2260.8,104435,55.96875,70.26,1.2699,149.68,12510.773,57.78,16.32
07/30/1999,1415.47,3086.08,2302,103471,55.859375,69.93,1.26754,150.1,12590.802,56.56,15.97
08/02/1999,1420.25,3079.98,2311.5,100726,55.828125,69.6,1.2653,149.64,12734.769,56.34,16
08/03/1999,1412.28,3059.65,2288.7,102083,55.75,69.56,1.26483,149.9,12692.299,55.93,16
08/04/1999,1391.29,3001.35,2279.8,100342,55.78125,69.62,1.27533,150.08,12775.28,56.32,16.18
08/05/1999,1404.31,3044.06,2219,100312,55.96875,69.23,1.27309,149.21,12883.76,56.65,16.32
08/06/1999,1388.1,3009.49,2236.1,99201,55.46875,68.86,1.27309,149.06,12871.783,57.53,16.54
08/09/1999,1385.44,2976.95,2279.8,97469,55.171875,69.12,1.26672,148.62,12972.708,58.6,16.9
08/10/1999,1371.63,2949.16,2236.7,97184,55.109375,69.1,1.26719,149.4,12990.928,58.68,16.89
08/11/1999,1385.98,3047.44,2241.8,100057,55.25,69.3,1.26081,149.03,12908.948,59.29,17.01
08/12/1999,1386.77,3013.55,2310.2,98355,55.25,69.71,1.26164,149.18,12967.01,59.18,16.89
08/13/1999,1416.8,3142.34,2366.6,99663,55.609375,69.78,1.24984,148.57,13029.011,59.7,17.06
08/16/1999,1423.71,3170.13,2359.6,99456,55.640625,69.63,1.24984,148.16,13072.709,58.85,17
08/17/1999,1431.68,3178.94,2378.6,97434,55.953125,69.81,1.24323,148.4,13033.943,59.9,17.26
08/18/1999,1418.39,3147.08,2369.7,95028,55.96875,70,1.245,148.29,13200.933,59.29,17.12
08/19/1999,1410.42,3103.03,2330.5,95996,55.890625,70.04,1.25704,149.75,13412.738,59.95,17.39
08/20/1999,1425.04,3155.89,2352,99332,55.9375,70.29,1.26129,149.4,13249.833,59.7,17.47
08/23/1999,1452.67,3252.82,2385.6,99945,55.921875,70.22,1.24146,148.23,12963.946,59.59,17.46
08/24/1999,1456.66,3275.87,2403.3,100981,56.140625,70.2,1.24476,147.51,13252.648,58.58,17.17
08/25/1999,1469.94,3349.07,2451.4,104796,56.5,70.77,1.23202,146.68,13156.276,56.15,16.46
08/26/1999,1453.73,3292.81,2441.9,102658,56.40625,70.42,1.23461,146.94,13231.82,57.16,17.12
08/27/1999,1436.46,3260.28,2447,103368,56.109375,70.25,1.23579,146.92,13395.691,58.04,17.28
08/30/1999,1409.36,3217.58,2431.8,103023,55.765625,69.82,1.23591,147.05,13335.775,60.05,17.28
08/31/1999,1402.72,3244.01,2386.2,103118,55.703125,69.6,1.2496,148.64,13233.034,60.33,17.75
09/01/1999,1417.86,3272.48,2405.8,106426,55.703125,69.69,1.25149,148.6,13294.934,60,17.57
09/02/1999,1403.25,3253.5,2353.9,108007,55.59375,69.13,1.26188,148.6,13196.699,58.64,17.31
09/03/1999,1448.15,3406.01,2418.5,109781,55.984375,69.55,1.2535,148.4,13155.026,60.03,17.5
09/06/1999,1449.48,3403.97,2441.3,110711,55.984375,69.62,1.25043,148.58,13088.968,60.03,17.77
09/07/1999,1437.52,3390.42,2422.9,110711,55.8125,68.96,1.25031,148.47,13088.968,61.69,18.29
09/08/1999,1430.62,3344.33,2423.5,108630,55.890625,69.36,1.25078,149.79,12934.88,61.83,18.53
09/09/1999,1429.55,3395.84,2445.7,110797,55.75,68.91,1.2437,151.23,12855.004,63.3,19.17
09/10/1999,1437.52,3439.22,2467.2,111190,56.015625,69.06,1.22222,149.73,12865.155,64.26,19.51
09/13/1999,1431.68,3388.38,2444.4,112484,55.9375,68.8,1.2289,148.79,12963.949,66.06,19.54
09/14/1999,1421.58,3408.72,2421.6,111362,55.78125,68.54,1.22187,148.73,12874.61,65.1,19.47
09/15/1999,1399.78,3341.62,2393.8,109925,55.921875,68.42,1.22667,149.38,12882.947,65.84,19.44
09/16/1999,1401.35,3334.25,2391.9,107777,56.015625,68.85,1.2275,150.21,12904.121,66.88,19.39
09/17/1999,1420.27,3441.44,2388.8,109407,56.140625,69.02,1.22832,150.16,12857.519,67.45,19.46
09/20/1999,1417.38,3443.44,2391.9,112503,56,68.89,1.22492,149.93,12811.749,66.53,19.34
09/21/1999,1389.27,3365.06,2358.6,110816,55.921875,68.79,1.23652,150.88,12894.455,66.78,19.36
09/22/1999,1389,3398.56,2356,111803,55.96875,68.87,1.23183,150.6,12924.43,67.28,19.57
09/23/1999,1356.69,3259.21,2365.5,110308,56.25,69.18,1.23019,151.69,12988.811,69.37,20.33
09/24/1999,1354.85,3250.5,2329.6,111190,56.5625,69.46,1.23218,151.99,13034.165,69.07,20.4
